Task Name,Completed By,Day,Completed,Time,VIP Acct#,Account,Address,City,ST,Zip,Distance,Premise,COT,Chain,On/Off Premise:,Did you speak to the buyer:,Who did you speak with:,CMC Notes:,Buyer Committed (New POD):,Instigated Re-Buy:,SKU #1:,Draft or PKG SKU #1:,QTY of SKU #1:,SKU #2:,Draft or PKG SKU #2:,QTY of SKU #2:,SKU #3:,Draft or PKG SKU #3:,QTY of SKU #3:,SKU #4:,Draft or PKG SKU #4:,QTY of SKU #4:,SKU #5:,Draft or PKG SKU #5:,QTY of SKU #5:,SKU #6:,Draft or PKG SKU #6:,QTY of SKU #6:,Buyer Objection:,Sampled Product:,Staff Education:,Built Display:,Confirmed Display:,Where is the Display:,How Many Cases:,Added POS:,Scheduled a 3rd Party Tasting:,Date of Event/Tasting:,Shelf Optimization:,Cold Space Placement:,Pricing Survey:,Supplier Price:,Competitor #1 Name:,Competitor #1 Price:,Competitor #2 Name:,Competitor #2 Price:,Mispriced Item Correction:,Price Feature Added:,Cold Shelf Photo #1:,Cold Shelf Photo #2:,Competitor Photo #1:,Competitor Photo #2:,Display Photo #1:,Display Photo #2:,Display Photo #3:,Menu Feature Photo #1:,POS Photo #1:,POS Photo #2:,POS Photo #3:,Warm Shelf Photo #1:,Warm Shelf Photo #2:,Other Photo #1:,Other Photo #2:,Other Photo #3:,Removed Damaged/OOC Product:,Executed Event:,Follow up:,Distributor Name:
"Soda Jerk","Nick Coronado",Fri,20241206,"10:59 PM",4738905,HARVEST,"215 N KENTUCKY ST",MCKINNEY,TX,75069,0.1,ON,RESTAURANT,INDEPENDENTS,On,NO,Jeff,"Harvest has a speak easy behind an old Coke machine on the square. Popped in late night to see if the buyer was there. He normally is but took the night off. I left samples and my card with the head bartender.",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"Siren Rock","Nick Coronado",Fri,20241206,"10:58 PM",4738905,HARVEST,"215 N KENTUCKY ST",MCKINNEY,TX,75069,0.1,ON,RESTAURANT,INDEPENDENTS,On,NO,Jeff,"Harvest has a speak easy behind an old Coke machine on the square. Popped in late night to see if the buyer was there. He normally is but took the night off. I left samples and my card with the head bartender.",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"Epic Western","Nick Coronado",Fri,20241206,"10:58 PM",4738905,HARVEST,"215 N KENTUCKY ST",MCKINNEY,TX,75069,0.1,ON,RESTAURANT,INDEPENDENTS,On,NO,Jeff,"Harvest has a speak easy behind an old Coke machine on the square. Popped in late night to see if the buyer was there. He normally is but took the night off. I left samples and my card with the head bartender.",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
Cantrip,"Nick Coronado",Fri,20241206,"10:58 PM",4738905,HARVEST,"215 N KENTUCKY ST",MCKINNEY,TX,75069,0.1,ON,RESTAURANT,INDEPENDENTS,On,NO,Jeff,"Harvest has a speak easy behind an old Coke machine on the square. Popped in late night to see if the buyer was there. He normally is but took the night off. I left samples and my card with the head bartender.",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"Epic Western","Nick Coronado",Fri,20241206,"10:49 PM",3198395,"THE PUB","204 W VIRGINIA ST",MCKINNEY,TX,75069,0.1,ON,BAR,INDEPENDENTS,On,YES,Jimmy,"Left samples with Jimmy. He is going to taste them with his bar staff and see if they think they can sell them.",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
Cantrip,"Nick Coronado",Fri,20241206,"10:48 PM",3198395,"THE PUB","204 W VIRGINIA ST",MCKINNEY,TX,75069,0.1,ON,BAR,INDEPENDENTS,On,YES,Jimmy,"Left samples with Jimmy. He is looking at THC license and thinks Cantrip would be a great first supplier.",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
Natterjack,"John Sikes",Fri,20241206,"08:49 PM",151716,"THE DRAUGHT HOUSE PUB","4112 MEDICAL PKWY",AUSTIN,TX,78756,0.0,ON,BAR,INDEPENDENTS,On,YES,Adan,"Spoke to the bar manager (Adan) discussed the brand and how its been performing. They have a holiday menu dedicated to certain brands but mentioned Sliante paid for their menu placement. I discussed with the manager ways Natterjack can get that promotional support has we will be working on it in 2025.",NO,NO,,,,,,,,,,,,,,,,,,,,YES,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"Garage Beer","John Sikes",Fri,20241206,"08:47 PM",151716,"THE DRAUGHT HOUSE PUB","4112 MEDICAL PKWY",AUSTIN,TX,78756,0.0,ON,BAR,INDEPENDENTS,On,YES,Adan,"Spoke to the bar manager (Adan) discussed the brand and placement opportunities. They are the oldest brew pub in Austin but have some guest taps dedicated for local and domestic brands. I will be following up with their team when I have samples.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"City Orchard","John Sikes",Fri,20241206,"08:44 PM",151716,"THE DRAUGHT HOUSE PUB","4112 MEDICAL PKWY",AUSTIN,TX,78756,0.0,ON,BAR,INDEPENDENTS,On,YES,Adan,"Spoke to the bar manager (Adan) they have the cherry on draft and wont be switching that up anytime soon per my conversation with the manager.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
Cantrip,"Jim Javenkoski",Fri,20241206,"08:23 PM",4010871,"RECLAIMED BAR AND RESTAURANT","3655 N WESTERN AVE",CHICAGO,IL,60618,0.0,ON,RESTAURANT,INDEPENDENTS,On,YES,"Rob Augustyn","Met with Rob (Bar Manager) as another follow-up to regarding the new winter menu soon. He said its release has been delayed but the 10 mg Cola and the 10 mg Root Beer will be featured as cocktails. I will make a return visit during the week of 12/9 to verify the menu listing and prices and take photos of the cocktails.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"Rogue Ales","Drew Ashpole",Fri,20241206,"08:23 PM",3866178,"CELT IRISH PUB","100 N TENNESSEE ST",MCKINNEY,TX,75069,0.0,ON,BAR,INDEPENDENTS,On,YES,Nick,"Rogue pint night with Batsquatch, honey, and dead guy. NPODs are here",YES,NO,"ROGUE - BATSQUATCH 1/2BBL",Draft,1,"ROGUE - DEAD GUY ALE 1/6 BBL",Draft,1,"ROGUE - HONEY KOLSCH 1/6BBL",Draft,1,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"Superstition Meadery","Erin Carranza",Fri,20241206,"07:59 PM",4315504,"HUDSON EATERY & BAR","1601 E APACHE BLVD",TEMPE,AZ,85281,0.0,ON,RESTAURANT,INDEPENDENTS,On,NO,Joe,"Stopped in since I was next door doing a promo. Spoke with the bartender to see if Chris or Kyle were around. Chris was busy in the back and couldnt come out. Ill stop in next week to follow up. Hopefully have the imperial samples.",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,12/11/24,
"Good Boy Vodka","Erin Carranza",Fri,20241206,"07:58 PM",4315504,"HUDSON EATERY & BAR","1601 E APACHE BLVD",TEMPE,AZ,85281,0.0,ON,RESTAURANT,INDEPENDENTS,On,NO,Joe,"Stopped in since I was next door doing a promo. Spoke with the bartender to see if Chris or Kyle were around. Chris was busy in the back and couldnt come out. Ill stop in next week to follow up on the samples.",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,12/11/24,
Lumberyard,"Erin Carranza",Fri,20241206,"07:57 PM",4315504,"HUDSON EATERY & BAR","1601 E APACHE BLVD",TEMPE,AZ,85281,0.0,ON,RESTAURANT,INDEPENDENTS,On,NO,Joe,"Stopped in since I was next door doing a promo. Spoke with the bartender to see if Chris or Kyle were around. Chris was busy in the back and couldnt come out. Ill stop in next week to sample when Im in the area.",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,12/11/24,
"Blake's Hard Cider","Jay Watson",Fri,20241206,"07:56 PM",4353119,"PARRYS PIZZERIA AND TAPHOUSE","5752 GRANDSCAPE BLVD STE 140","THE COLONY",TX,75056,0.2,ON,RESTAURANT,"PARRYS PIZZERIA AND TAPHOUSE",On,YES,Caylee,"My last event with Blakes.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,YES,,,,,,,,,,,,,,"Has Picture",,,NO,NO,,
"Superstition Meadery","Erin Carranza",Fri,20241206,"07:53 PM",96833,"LIQUOR EXPRESS","1605 E APACHE",TEMPE,AZ,85281,0.0,OFF,"LIQUOR/PACKAGE STORE",INDEPENDENTS,Off,YES,Ben,"Came in for a sampling/promo and briefly was able to catch Ben. Still on for the sampling next week. Cans didnt come in this week because Chandler warehouse oos. Andy from Hensley is on top of it and getting them pulled from Phoenix and Im picking up.",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,12/11/24,
Ritual,"John Sikes",Fri,20241206,"07:49 PM",4437138,"THE WELL","440 W 2ND ST",AUSTIN,TX,78701,1.2,ON,RESTAURANT,INDEPENDENTS,On,NO,Dimas,"Spoke to the general manager (Dimas) the bar manager (Sandra) was not available. They have a second location in west lake that the GM mentioned the owners and ultimate decision makers are at most of the time. I will follow up with this location and the west lake location about their beverage program and placement opportunities.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
Natterjack,"John Sikes",Fri,20241206,"07:49 PM",4437138,"THE WELL","440 W 2ND ST",AUSTIN,TX,78701,1.2,ON,RESTAURANT,INDEPENDENTS,On,NO,Dimas,"Spoke to the general manager (Dimas) the bar manager (Sandra) was not available. They have a second location in west lake that the GM mentioned the owners and ultimate decision makers are at most of the time. I will follow up with this location and the west lake location about their beverage program and placement opportunities.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
Lumberyard,"Erin Carranza",Fri,20241206,"07:49 PM",96833,"LIQUOR EXPRESS","1605 E APACHE",TEMPE,AZ,85281,0.0,OFF,"LIQUOR/PACKAGE STORE",INDEPENDENTS,Off,NO,Ben,"Came in for a sampling/promo and briefly was able to catch Ben and let him know I now have LY. He told me to come in next week to discuss more. Pushing for 3 case deal.",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,12/11/24,
"Garage Beer","John Sikes",Fri,20241206,"07:49 PM",4437138,"THE WELL","440 W 2ND ST",AUSTIN,TX,78701,1.2,ON,RESTAURANT,INDEPENDENTS,On,NO,Dimas,"Spoke to the general manager (Dimas) the bar manager (Sandra) was not available. They have a second location in west lake that the GM mentioned the owners and ultimate decision makers are at most of the time. I will follow up with this location and the west lake location about their beverage program and placement opportunities.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"City Orchard","John Sikes",Fri,20241206,"07:49 PM",4437138,"THE WELL","440 W 2ND ST",AUSTIN,TX,78701,1.2,ON,RESTAURANT,INDEPENDENTS,On,NO,Dimas,"Spoke to the general manager (Dimas) the bar manager (Sandra) was not available. They have a second location in west lake that the GM mentioned the owners and ultimate decision makers are at most of the time. I will follow up with this location and the west lake location about their beverage program and placement opportunities.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"Garage Beer","John Sikes",Fri,20241206,"07:46 PM",159263,"MEAN EYED CAT BAR","1621 W 5TH ST",AUSTIN,TX,78703,0.0,ON,BAR,INDEPENDENTS,On,NO,Shelby,"Spoke to the general manager (Shelby) discussed the brand and placement opportunities. The beer buyer (Paul) was also working and said he would consider bringing on garage beer but wants to sample the product first. Once I have samples I will follow up with their team about activation and promotional support.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
Jeng,"Matt Koch",Fri,20241206,"07:46 PM",168934,"C MART 1197","7007 VILLAGE CTR DR",AUSTIN,TX,78731,0.1,OFF,"CONVENIENCE/ GAS","C MART",On,NO,Cris,"I met with Cris to discuss his Hemp beverage offerings. Cris connected me with the owner Zulfikaralai. Zulfikaralai is out of the country at this time but Cris informed me he will be back next week. This store is attached to a gas station, but it is the only specialty bottle shop in this area.",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",NO,YES,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
DELTA,"Jim Javenkoski",Fri,20241206,"07:45 PM",3100413,"BINNYS BEVERAGE DEPOT 24","1720 N MARCEY ST",CHICAGO,IL,60614,0.0,OFF,"LIQUOR/PACKAGE STORE","BINNYS BEVERAGE DEPOT",Off,YES,"Chris Aiken","Met with Chris (Beer Consultant) after checking the shelf stock where there are 4 units of Bright Berry ($14.99) remaining in a hand-level slot in the THC set which is displayed near the front entrance to the store (see photo). I will make a return visit during the week of 12/9 to monitor sales movement.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,"Has Picture","Has Picture",,,,NO,NO,,
"City Orchard","John Sikes",Fri,20241206,"07:45 PM",159263,"MEAN EYED CAT BAR","1621 W 5TH ST",AUSTIN,TX,78703,0.0,ON,BAR,INDEPENDENTS,On,YES,Shelby,"Spoke to the general manager (Shelby) discussed the brand and placement opportunities. The buyer is interested in putting city orchard on after the holidays and I will be working with them to get visibility during their big promotional events.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"High Rise","Matt Koch",Fri,20241206,"07:44 PM",168934,"C MART 1197","7007 VILLAGE CTR DR",AUSTIN,TX,78731,0.1,OFF,"CONVENIENCE/ GAS","C MART",On,NO,Cris,"I met with Cris to discuss his Hemp beverage offerings. Cris connected me with the owner Zulfikaralai. Zulfikaralai is out of the country at this time but Cris informed me he will be back next week. This store is attached to a gas station, but it is the only specialty bottle shop in this area.",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",YES,YES,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"Garage Beer","Jim Javenkoski",Fri,20241206,"07:43 PM",3100413,"BINNYS BEVERAGE DEPOT 24","1720 N MARCEY ST",CHICAGO,IL,60614,0.0,OFF,"LIQUOR/PACKAGE STORE","BINNYS BEVERAGE DEPOT",Off,YES,"Chris Aiken","Met with Chris (Beer Consultant) after checking the shelf stock where there are 2 units each of Light 12-pks and Lime 12-pks ($12.99 each, promo price) remaining in the bottom warm shelf slots in aisle #5 (see photos). I will make a return visit during the week of 12/9 to monitor sales movement.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,"Has Picture",,"Has Picture",,,NO,NO,,
Natterjack,"John Sikes",Fri,20241206,"07:42 PM",159263,"MEAN EYED CAT BAR","1621 W 5TH ST",AUSTIN,TX,78703,0.0,ON,BAR,INDEPENDENTS,On,YES,Shelby,"Spoke to the general manager (Shelby) discussed the brand and how its been performing. The manager said that they will keep the shot special running through 2025 as long as we keep showing continued support. I will be in contact with her on events we can partner with in the upcoming months.",NO,NO,,,,,,,,,,,,,,,,,,,,YES,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
Gruvi,"Jim Javenkoski",Fri,20241206,"07:41 PM",3100413,"BINNYS BEVERAGE DEPOT 24","1720 N MARCEY ST",CHICAGO,IL,60614,0.0,OFF,"LIQUOR/PACKAGE STORE","BINNYS BEVERAGE DEPOT",Off,YES,"Chris Aiken","Met with Chris (Beer Consultant) after checking the shelf stock where there are 2 units of Golden, 6 units of Juicy IPA and 5 units of Mocha Nitro Stout ($11.99 each) remaining in the hand-level warm shelf slots in aisle #9 (see photo). Additionally, there are 5 units each of Dry Secco and Bubbly Rose ($12.99 each) as well as 4 units each of Dry Red Blend and Sangria ($19.99 each) remaining in ...",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,"Has Picture","Has Picture","Has Picture","Has Picture",,NO,YES,,
"Good Boy Vodka","Erin Carranza",Fri,20241206,"07:32 PM",96833,"LIQUOR EXPRESS","1605 E APACHE",TEMPE,AZ,85281,0.0,OFF,"LIQUOR/PACKAGE STORE",INDEPENDENTS,Off,YES,Ben,"Came in for JD promo",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",YES,NO,NO,NO,,,NO,NO,,YES,YES,NO,,,,,,NO,NO,,,,,,,,,,,,,,"Has Picture",,,NO,YES,,
Cantrip,"Matt Koch",Fri,20241206,"07:26 PM",168934,"C MART 1197","7007 VILLAGE CTR DR",AUSTIN,TX,78731,0.0,OFF,"CONVENIENCE/ GAS","C MART",Off,YES,Cris,"I met with Cris to discuss POS options for Cantrip. Cris connected me with the owner Zulfikaralai. Zulfikaralai is out of the country at this time but Cris informed me that he will be back next week.",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",NO,YES,NO,NO,,,NO,NO,,NO,YES,NO,,,,,,NO,NO,"Has Picture",,,,,,,,,,,,,,,,NO,NO,,
CANN,"Matt Koch",Fri,20241206,"07:25 PM",168934,"C MART 1197","7007 VILLAGE CTR DR",AUSTIN,TX,78731,0.0,OFF,"CONVENIENCE/ GAS","C MART",On,YES,Cris,"I met with Cris to discuss POS options for CANN. Cris connected me with the owner Zulfikaralai. Zulfikaralai is out of the country at this time but Cris informed me he will be back next week.",NO,NO,,,,,,,,,,,,,,,,,,,"Other (See CMC Notes)",NO,YES,NO,NO,,,NO,NO,,YES,NO,NO,,,,,,NO,NO,"Has Picture",,,,,,,,,,,,,,,,NO,NO,,
Fable,"Seth Hahn",Fri,20241206,"06:40 PM",4602060,"PRESSURE SMOKE DAB BAR HEMP","2190 NOLENSVILLE PIKE STE B",NASHVILLE,TN,37211,2.0,OFF,"SPECIALTY RETAIL",INDEPENDENTS,Off,NO,"Jordan- sales associate","Presented my brands again to the clerk talked about pricing and placement. Said he will pass along the info again for him and will get back with me for a date to sample and talk placement.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
